"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","gene_symbol"
"ENSG00000180089.6",55.6020964552977,0.49514965704826,0.217649827703689,2.2749829957245,0.022906949911462,0.0539099672434984,"ENSG00000180089","TMEM86B"
"ENSG00000264548.1",12.6948357432734,0.771617342239031,0.339173460834784,2.27499327435556,0.0229063332960534,0.0539099672434984,"ENSG00000264548",NA
"ENSG00000022556.16",1357.02978450121,1.3260520729625,0.582921787084903,2.27483704047823,0.0229157073275837,0.0539272387060849,"ENSG00000022556","NLRP2"
"ENSG00000166405.15",377.545899067918,-1.07418801076295,0.472241471681204,-2.27465835844273,0.0229264323332493,0.0539491380469497,"ENSG00000166405","RIC3"
"ENSG00000237637.1",5.11820886448272,1.15400816528928,0.507374155413578,2.27447171476168,0.0229376398753198,0.0539721700829588,"ENSG00000237637",NA
"ENSG00000159763.4",11907.599547265,-1.65507099243848,0.727705747454549,-2.27436844937363,0.0229438427792104,0.0539834241042076,"ENSG00000159763","PIP"
"ENSG00000232872.2",10.4831309439025,0.847649885382765,0.37272532035803,2.27419453169571,0.0229542928899492,0.0540046691553051,"ENSG00000232872","CTAGE3P"
"ENSG00000273091.1",14.9189691198951,-0.571387347918986,0.251300110319062,-2.27372501824025,0.0229825249754236,0.0540677447206342,"ENSG00000273091",NA
"ENSG00000274797.1",0.797915492967857,-1.310599652787,0.57651223628493,-2.27332495357352,0.0230066048628457,0.0541210447933836,"ENSG00000274797",NA
"ENSG00000099381.18",2441.97666794119,0.289081600326036,0.127163794882656,2.27330114355894,0.0230080386779716,0.0541210686432207,"ENSG00000099381","SETD1A"
"ENSG00000257763.1",3.97715951680793,-0.914223584688041,0.402204955478282,-2.27302914157508,0.0230244238722209,0.0541562599617916,"ENSG00000257763",NA
"ENSG00000227948.4",0.563630942761666,-1.84524604513812,0.81208021282773,-2.27224603677119,0.0230716541178265,0.0542639937690513,"ENSG00000227948","LOC100420226"
"ENSG00000198650.11",2697.51605139393,-1.70804033123686,0.751711317856152,-2.272202494048,0.0230742827133708,0.0542668186926992,"ENSG00000198650","TAT"
"ENSG00000231381.2",2.2477409578128,1.69246404764459,0.744912656312655,2.27203019481821,0.0230846866575736,0.0542879284434062,"ENSG00000231381",NA
"ENSG00000270317.1",1.1176566420516,-1.61443733418533,0.71068705963595,-2.27165714120688,0.0231072267133907,0.0543375741376684,"ENSG00000270317",NA
"ENSG00000204267.16",1928.40477788507,0.655534633274532,0.288588929803699,2.27151690718155,0.0231157046532828,0.0543541481038253,"ENSG00000204267","TAP2"
"ENSG00000123349.15",93.2261927041789,-0.448753139549371,0.197574564191681,-2.27131028422263,0.0231282011016247,0.0543768052989217,"ENSG00000123349","PFDN5"
"ENSG00000170310.15",1501.67521867264,-0.336093090379987,0.147973048106809,-2.27131288217697,0.0231280439422975,0.0543768052989217,"ENSG00000170310","STX8"
"ENSG00000284657.1",3.59507709973589,-0.726272071152192,0.319847750485607,-2.2706805661429,0.0231663223120837,0.0544630638648028,"ENSG00000284657",NA
"ENSG00000212342.1",0.656112146663211,1.83485534218868,0.808084385934918,2.27062343255875,0.0231697837029899,0.0544678330016177,"ENSG00000212342","LOC124900269"
"ENSG00000287966.1",60.5508025504567,0.475181630219435,0.209276407202582,2.27059340597077,0.0231716030189896,0.0544687415759888,"ENSG00000287966",NA
"ENSG00000196923.14",2969.02138197727,0.457026371267946,0.201299442841931,2.27038070655179,0.0231844940643137,0.054495674386625,"ENSG00000196923","PDLIM7"
"ENSG00000105989.10",586.739462002962,0.772356027505266,0.34023665405088,2.27005532269831,0.0232042266096814,0.0545386839722417,"ENSG00000105989","WNT2"
"ENSG00000176909.12",119.532824254601,0.667178242718762,0.293909948829705,2.27000904656458,0.0232070341589215,0.054541910575048,"ENSG00000176909","MAMSTR"
"ENSG00000021488.13",21.2332005442241,0.625417736334144,0.275521912520862,2.26993828045088,0.0232113280730349,0.0545452578782482,"ENSG00000021488","SLC7A9"
"ENSG00000146576.13",1626.65198899605,0.250667612745445,0.110428685421061,2.26995016548152,0.0232106068703473,0.0545452578782482,"ENSG00000146576","INTS15"
"ENSG00000183742.13",1605.37676353671,0.677468722624113,0.298469287761562,2.2698104977733,0.0232190833597578,0.0545595863910001,"ENSG00000183742","MACC1"
"ENSG00000274471.2",66.3363063025213,-0.711779181615572,0.313588049016498,-2.26979052246384,0.0232202958889909,0.0545595863910001,"ENSG00000274471",NA
"ENSG00000260871.1",12.2970970818006,-0.675722781736533,0.29771394425521,-2.26970484512234,0.0232254972471295,0.0545684349721648,"ENSG00000260871",NA
"ENSG00000139921.13",3447.37948715396,0.3630246525748,0.159950473887146,2.26960660854893,0.0232314623045029,0.0545790766643394,"ENSG00000139921","TMX1"
"ENSG00000249715.12",65.4535506062388,-0.959456194073717,0.422751882160706,-2.26954919554678,0.0232349491153367,0.0545838951068795,"ENSG00000249715","FER1L5"
"ENSG00000188488.14",2835.31392859683,1.07525776933752,0.473826525670969,2.26930682661738,0.0232496736919428,0.0546151112524999,"ENSG00000188488","SERPINA5"
"ENSG00000268222.1",25.8973666090217,-0.441189523518156,0.194490600187968,-2.26843622823809,0.0233026317658351,0.0547361311528807,"ENSG00000268222",NA
"ENSG00000229400.1",0.920035697139721,1.6759441691447,0.738845409161943,2.26832859534945,0.0233091862900027,0.0547481443814923,"ENSG00000229400",NA
"ENSG00000258933.1",0.552147880584061,-1.95026179022785,0.859885257849712,-2.26804887329363,0.0233262280200696,0.0547847867405748,"ENSG00000258933",NA
"ENSG00000139364.10",44.5188393333522,-0.75511614150546,0.332947361036288,-2.26797455055714,0.0233307578617959,0.0547920405335252,"ENSG00000139364","TMEM132B"
"ENSG00000146063.20",1598.30680231715,0.320283553184158,0.141231095636122,2.26779769527074,0.0233415399550567,0.0548139758704892,"ENSG00000146063","TRIM41"
"ENSG00000176083.18",160.841930269945,1.02643786977459,0.452632261900902,2.2677081511245,0.0233470007192724,0.0548234129559047,"ENSG00000176083","ZNF683"
"ENSG00000109511.12",5.52847966073086,1.08048671237576,0.476491035330557,2.2675908511609,0.023354155823393,0.05483682727772,"ENSG00000109511","ANXA10"
"ENSG00000182606.17",4952.75481272962,-0.28182779920387,0.124302439362249,-2.26727488736205,0.0233734385635363,0.0548753252836483,"ENSG00000182606","TRAK1"
